frequency_hz,target_db,fitted_iir_db,error_db
1120.4701,-3.4024097,-3.5786103,-0.17620061
1130.6068,-3.4631811,-3.5894664,-0.12628533
1140.8353,-3.5137394,-3.6001697,-0.086430369
1151.1563,-3.5648588,-3.6107094,-0.045850645
1161.5707,-3.634276,-3.6210752,0.013200849
1172.0793,-3.6877606,-3.6312573,0.056503359
1182.6829,-3.7563606,-3.6412466,0.11511404
1193.3825,-3.8251576,-3.6510346,0.17412293
1204.1789,-3.8811438,-3.6606135,0.22053026
1215.073,-3.9354814,-3.669976,0.26550541
1226.0656,-3.9930462,-3.6791154,0.3139308
1237.1576,-4.0410447,-3.6880256,0.35301904
1248.3501,-4.0817646,-3.6967014,0.38506318
1259.6437,-4.1304027,-3.7051378,0.42526485
1271.0396,-4.1634574,-3.7133307,0.45012673
1282.5385,-4.2025726,-3.7212764,0.4812962
1294.1415,-4.2356694,-3.728972,0.50669736
1305.8494,-4.2608705,-3.7364149,0.52445556
1317.6633,-4.2855298,-3.7436033,0.54192649
1329.584,-4.327631,-3.7505359,0.57709513
1341.6126,-4.3501226,-3.7572117,0.59291087
1353.75,-4.3712763,-3.7636306,0.60764571
1365.9972,-4.3851336,-3.7697927,0.61534096
1378.3552,-4.3931697,-3.7756987,0.61747105
1390.825,-4.4040891,-3.7813498,0.62273932
1403.4077,-4.4128577,-3.7867475,0.62611019
1416.1041,-4.4188885,-3.7918939,0.62699452
1428.9154,-4.4287463,-3.7967915,0.63195471
1441.8427,-4.4231127,-3.8014432,0.62166951
1454.8868,-4.4274208,-3.805852,0.62156881
1468.049,-4.4251961,-3.8100217,0.61517435
1481.3303,-4.4218443,-3.8139562,0.60788805
1494.7317,-4.4178661,-3.8176598,0.60020634
1508.2543,-4.3939187,-3.821137,0.57278166
1521.8993,-4.3849827,-3.8243928,0.5605899
1535.6678,-4.3533851,-3.8274324,0.52595266
1549.5608,-4.3317205,-3.8302613,0.50145927
1563.5795,-4.3005059,-3.8328851,0.46762075
1577.725,-4.2683351,-3.83531,0.43302508
1591.9985,-4.2475318,-3.8375421,0.40998969
1606.4011,-4.2218781,-3.8395881,0.38228996
1620.934,-4.2000718,-3.8414546,0.35861722
1635.5984,-4.186275,-3.8431487,0.34312634
1650.3954,-4.1659225,-3.8446776,0.32124499
1665.3264,-4.1455614,-3.8460487,0.29951273
1680.3924,-4.1217182,-3.8472698,0.27444843
1695.5947,-4.0925427,-3.8483488,0.2441939
1710.9345,-4.0606097,-3.849294,0.21131567
1726.4131,-4.0259846,-3.8501138,0.17587083
1742.0318,-3.98327,-3.850817,0.13245296
1757.7917,-3.9450449,-3.8514127,0.093632167
1773.6942,-3.904137,-3.8519102,0.052226779
1789.7406,-3.8592073,-3.8523192,0.0068881054
1805.9322,-3.8163375,-3.8526498,-0.036312317
1822.2703,-3.7804886,-3.8529124,-0.072423807
1838.7561,-3.7458213,-3.853118,-0.10729671
1855.3911,-3.7161541,-3.8532779,-0.13712383
1872.1766,-3.6878159,-3.853404,-0.16558804
1889.114,-3.6567242,-3.8535088,-0.19678458
1906.2045,-3.6241255,-3.8536054,-0.2294799
1923.4497,-3.5935864,-3.8537076,-0.26012118
1940.851,-3.5608399,-3.85383,-0.29299012
1958.4096,-3.5291088,-3.8539881,-0.32487933
1976.1271,-3.5008841,-3.8541984,-0.35331437
1994.0049,-3.4755296,-3.8544785,-0.37894894
2012.0444,-3.4567366,-3.8548472,-0.39811059
2030.2471,-3.4352592,-3.8553246,-0.42006538
2048.6145,-3.4235934,-3.8559325,-0.43233913
2067.1481,-3.4195568,-3.8566943,-0.43713755
2085.8493,-3.4186418,-3.8576356,-0.43899375
2104.7197,-3.4098905,-3.8587838,-0.44889328
2123.7609,-3.4082846,-3.8601691,-0.4518845
2142.9743,-3.4066989,-3.8618245,-0.45512561
2162.3615,-3.4035071,-3.863786,-0.46027893
2181.9241,-3.4015162,-3.8660933,-0.46457716
2201.6637,-3.402031,-3.8687902,-0.4667592
2221.5819,-3.4149861,-3.8719249,-0.45693884
2241.6803,-3.4296116,-3.8755512,-0.44593955
2261.9605,-3.4417669,-3.8797284,-0.43796152
2282.4242,-3.4668241,-3.884523,-0.41769891
2303.073,-3.4868112,-3.890009,-0.4031978
2323.9086,-3.515365,-3.8962692,-0.38090418
2344.9327,-3.5520915,-3.9033966,-0.35130515
2366.147,-3.5894983,-3.9114956,-0.32199727
2387.5533,-3.6359757,-3.9206837,-0.28470797
2409.1532,-3.6821228,-3.9310934,-0.2489706
2430.9485,-3.7326565,-3.9428742,-0.2102177
2452.941,-3.792776,-3.9561953,-0.16341925
2475.1325,-3.85017,-3.9712477,-0.12107765
2497.5247,-3.9132963,-3.9882476,-0.074951273
2520.1195,-3.9763728,-4.0074394,-0.031066636
2542.9187,-4.0400882,-4.029099,0.010989284
2565.9242,-4.1105652,-4.0535368,0.057028397
2589.1378,-4.1771896,-4.0811013,0.096088297
2612.5614,-4.2473724,-4.1121808,0.13519163
2636.1969,-4.3124504,-4.1472045,0.16524592
2660.0462,-4.3817909,-4.186641,0.19514985
